Area,Age,Sex,Year,Value,Flags
"Total, Territorial Authority areas",55-59 years,Female,2013,138726,
Wairoa District,50-54 years,Male,2013,303,
Auckland,60-64 years,Male,2013,34155,
Area Outside Region,0-4 years,Female,2013,21,
Northland Region,25-29 years,Male,2013,3357,
Waimate District,35-39 years,Female,2013,204,
Masterton District,20-24 years,Male,2013,579,
Wanganui District,70-74 years,Male,2013,816,
Albert-Eden Local Board Area,35-39 years,Male,2013,3531,
Kaipatiki Local Board Area,90-94 years,Female,2013,204,
Marlborough District,70-74 years,Female,2013,1182,
Devonport-Takapuna Local Board Area,90-94 years,Male,2013,93,
Canterbury Region,100 years and over,Male,2013,15,
Waimate District,5-9 years,Female,2013,228,
Manurewa Local Board Area,5-9 years,Female,2013,3597,
Marlborough District,0-4 years,Male,2013,1338,
Rangitikei District,45-49 years,Female,2013,570,
Hastings District,85-89 years,Female,2013,570,
Waitakere Ranges Local Board Area,90-94 years,Female,2013,57,
Waipa District,20-24 years,Male,2013,1230,
Invercargill City,10-14 years,Female,2013,1692,
Mackenzie District,50-54 years,Male,2013,219,
West Coast Region,20-24 years,Female,2013,1041,
Kaipara District,60-64 years,Female,2013,744,
Manurewa Local Board Area,75-79 years,Female,2013,606,
Masterton District,100 years and over,Male,2013,0,
Waitomo District,20-24 years,Male,2013,261,
West Coast Region,5-9 years,Male,2013,1050,
Southland District,100 years and over,Male,2013,0,
Tasman Region,65-69 years,Female,2013,1629,
Manawatu District,30-34 years,Male,2013,603,
Tauranga City,80-84 years,Female,2013,1854,
Marlborough Region,40-44 years,Female,2013,1536,
Area outside territorial authority,85-89 years,Female,2013,0,
Gore District,95-99 years,Female,2013,12,
Kapiti Coast District,55-59 years,Male,2013,1476,
West Coast Region,75-79 years,Male,2013,513,
Devonport-Takapuna Local Board Area,25-29 years,Female,2013,1686,
Waitaki District,40-44 years,Female,2013,687,
Kawerau District,60-64 years,Female,2013,177,
Southland Region,100 years and over,Female,2013,18,
Great Barrier Local Board Area,65-69 years,Male,2013,54,
Whangarei District,70-74 years,Female,2013,1830,
Otorohanga District,30-34 years,Female,2013,258,
Hauraki District,55-59 years,Female,2013,657,
Auckland,30-34 years,Female,2013,52656,
Marlborough Region,50-54 years,Male,2013,1671,
Canterbury Region,70-74 years,Female,2013,11112,
Buller District,100 years and over,Female,2013,0,
Nelson Region,45-49 years,Male,2013,1683,
Papakura Local Board Area,55-59 years,Female,2013,1206,
Ashburton District,40-44 years,Female,2013,1068,
Auckland,80-84 years,Female,2013,11802,
Marlborough District,5-9 years,Male,2013,1350,
Great Barrier Local Board Area,80-84 years,Female,2013,12,
Mangere-Otahuhu Local Board Area,90-94 years,Female,2013,63,
Rotorua District,40-44 years,Male,2013,2223,
Kaipara District,65-69 years,Female,2013,705,
Great Barrier Local Board Area,0-4 years,Female,2013,33,
"Total, Territorial Authority areas",70-74 years,Female,2013,81018,
Matamata-Piako District,15-19 years,Female,2013,1026,
New Plymouth District,0-4 years,Female,2013,2496,
Dunedin City,50-54 years,Female,2013,4539,
Taranaki Region,95-99 years,Female,2013,99,
Stratford District,5-9 years,Male,2013,315,
Whakatane District,100 years and over,Male,2013,3,
Thames-Coromandel District,80-84 years,Female,2013,456,
Ashburton District,90-94 years,Female,2013,105,
Otorohanga District,15-19 years,Female,2013,264,
Hurunui District,65-69 years,Female,2013,411,
Wellington Region,30-34 years,Female,2013,16527,
New Plymouth District,5-9 years,Male,2013,2580,
Horowhenua District,100 years and over,Female,2013,9,
Tasman District,15-19 years,Male,2013,1665,
Albert-Eden Local Board Area,50-54 years,Female,2013,3264,
Manurewa Local Board Area,70-74 years,Male,2013,831,
Hawke's Bay Region,5-9 years,Male,2013,5469,
Manurewa Local Board Area,100 years and over,Female,2013,0,
Waikato District,25-29 years,Male,2013,1608,
Thames-Coromandel District,0-4 years,Female,2013,726,
Otago Region,85-89 years,Female,2013,1737,
Tauranga City,5-9 years,Female,2013,3900,
Stratford District,75-79 years,Male,2013,117,
Whakatane District,30-34 years,Male,2013,723,
Nelson Region,50-54 years,Male,2013,1815,
Maungakiekie-Tamaki Local Board Area,65-69 years,Male,2013,1095,
Manawatu District,5-9 years,Male,2013,981,
Waikato District,85-89 years,Male,2013,207,
Rangitikei District,25-29 years,Female,2013,363,
Grey District,55-59 years,Female,2013,480,
Upper Harbour Local Board Area,100 years and over,Male,2013,0,
Kapiti Coast District,50-54 years,Female,2013,1881,
Area Outside Region,25-29 years,Female,2013,15,
Timaru District,20-24 years,Female,2013,1125,
Napier City,60-64 years,Male,2013,1737,
Howick Local Board Area,100 years and over,Male,2013,6,
Upper Harbour Local Board Area,45-49 years,Female,2013,2295,
Wanganui District,95-99 years,Male,2013,21,
Howick Local Board Area,20-24 years,Female,2013,4074,
Lower Hutt City,90-94 years,Male,2013,120,
Waimate District,10-14 years,Male,2013,204,
Hamilton City,90-94 years,Female,2013,381,
Auckland,95-99 years,Female,2013,945,
Otago Region,95-99 years,Female,2013,186,
Thames-Coromandel District,5-9 years,Female,2013,795,
Stratford District,80-84 years,Male,2013,105,
Otago Region,40-44 years,Female,2013,7686,
Maungakiekie-Tamaki Local Board Area,20-24 years,Female,2013,2829,
Puketapapa Local Board Area,30-34 years,Female,2013,1947,
Gisborne District,80-84 years,Male,2013,378,
Otorohanga District,5-9 years,Female,2013,357,
Auckland Region,60-64 years,Female,2013,36399,
Great Barrier Local Board Area,25-29 years,Female,2013,15,
Manurewa Local Board Area,80-84 years,Female,2013,540,
Southland Region,25-29 years,Female,2013,3063,
Area outside territorial authority,95-99 years,Female,2013,0,
Taupo District,95-99 years,Female,2013,21,
Franklin Local Board Area,45-49 years,Female,2013,2706,
Whangarei District,0-4 years,Male,2013,2838,
"Total, Territorial Authority areas",45-49 years,Female,2013,159477,
Manurewa Local Board Area,85-89 years,Female,2013,276,
Waikato District,100 years and over,Male,2013,0,
Far North District,65-69 years,Female,2013,2058,
Area outside territorial authority,15-19 years,Female,2013,3,
Area outside territorial authority,90-94 years,Female,2013,0,
Waimate District,90-94 years,Male,2013,24,
Wellington Region,40-44 years,Female,2013,19047,
Southland Region,30-34 years,Female,2013,3036,
Palmerston North City,45-49 years,Male,2013,2397,
Timaru District,100 years and over,Female,2013,9,
Manawatu-Wanganui Region,100 years and over,Female,2013,30,
Franklin Local Board Area,60-64 years,Female,2013,1947,
Selwyn District,0-4 years,Male,2013,1593,
Gisborne District,75-79 years,Male,2013,489,
Upper Hutt City,90-94 years,Male,2013,51,
Ashburton District,0-4 years,Male,2013,1173,
Canterbury Region,65-69 years,Female,2013,14427,
Chatham Islands Territory,20-24 years,Female,2013,9,
Gisborne Region,20-24 years,Female,2013,1278,
Great Barrier Local Board Area,30-34 years,Female,2013,21,
Southland District,65-69 years,Female,2013,882,
Gore District,90-94 years,Female,2013,69,
South Waikato District,100 years and over,Male,2013,0,
Wairoa District,55-59 years,Male,2013,288,
Selwyn District,65-69 years,Female,2013,954,
Kaipatiki Local Board Area,95-99 years,Female,2013,51,
Marlborough Region,95-99 years,Female,2013,42,
Rodney Local Board Area,75-79 years,Female,2013,690,
Mackenzie District,100 years and over,Female,2013,0,
Thames-Coromandel District,55-59 years,Male,2013,1122,
Taupo District,75-79 years,Male,2013,534,
Gisborne District,60-64 years,Male,2013,1281,
Matamata-Piako District,90-94 years,Female,2013,126,
Napier City,85-89 years,Male,2013,342,
Auckland,35-39 years,Female,2013,51267,
Selwyn District,70-74 years,Female,2013,666,
Ashburton District,85-89 years,Female,2013,282,
Opotiki District,60-64 years,Male,2013,300,
Queenstown-Lakes District,30-34 years,Female,2013,1854,
Devonport-Takapuna Local Board Area,70-74 years,Male,2013,951,
Nelson City,5-9 years,Male,2013,1470,
Whangarei District,65-69 years,Female,2013,2265,
Wellington Region,35-39 years,Female,2013,17025,
Waitakere Ranges Local Board Area,70-74 years,Female,2013,561,
Waiheke Local Board Area,25-29 years,Female,2013,177,
Gisborne District,100 years and over,Female,2013,3,
Waikato Region,80-84 years,Female,2013,4512,
West Coast Region,75-79 years,Female,2013,501,
Gisborne District,20-24 years,Female,2013,1281,
Upper Hutt City,85-89 years,Female,2013,300,
Gore District,100 years and over,Female,2013,6,
Kaipatiki Local Board Area,80-84 years,Female,2013,597,
Thames-Coromandel District,70-74 years,Male,2013,1047,
Papakura Local Board Area,100 years and over,Male,2013,0,
Lower Hutt City,15-19 years,Male,2013,3390,
New Plymouth District,60-64 years,Male,2013,2274,
Gisborne Region,60-64 years,Male,2013,1281,
Puketapapa Local Board Area,75-79 years,Female,2013,609,
Auckland Region,0-4 years,Male,2013,52707,
Taranaki Region,70-74 years,Female,2013,2121,
Waitemata Local Board Area,35-39 years,Male,2013,3162,
"Total, Territorial Authority areas",80-84 years,Male,2013,36135,
Waitomo District,0-4 years,Male,2013,369,
Tararua District,25-29 years,Female,2013,405,
Upper Harbour Local Board Area,50-54 years,Male,2013,2055,
Taranaki Region,0-4 years,Male,2013,4035,
Henderson-Massey Local Board Area,25-29 years,Female,2013,4092,
Waikato District,90-94 years,Male,2013,63,
Gisborne Region,35-39 years,Female,2013,1341,
Mackenzie District,0-4 years,Female,2013,135,
Wairoa District,30-34 years,Male,2013,180,
South Waikato District,100 years and over,Female,2013,3,
Kapiti Coast District,75-79 years,Male,2013,1029,
Masterton District,40-44 years,Male,2013,675,
Otorohanga District,60-64 years,Male,2013,279,
Hurunui District,90-94 years,Female,2013,21,
Kapiti Coast District,5-9 years,Male,2013,1599,
Whangarei District,90-94 years,Female,2013,309,
Waitaki District,85-89 years,Female,2013,252,
Far North District,5-9 years,Male,2013,2109,
Christchurch City,35-39 years,Female,2013,11361,
Wairoa District,100 years and over,Male,2013,0,
Auckland,40-44 years,Female,2013,56946,
Canterbury Region,45-49 years,Female,2013,20385,
Puketapapa Local Board Area,95-99 years,Female,2013,45,
Hauraki District,80-84 years,Female,2013,252,
Far North District,40-44 years,Male,2013,1677,
Tasman Region,70-74 years,Female,2013,1167,
Albert-Eden Local Board Area,55-59 years,Male,2013,2439,
Waimakariri District,70-74 years,Male,2013,1083,
Waimate District,55-59 years,Female,2013,276,
Grey District,10-14 years,Male,2013,441,
Matamata-Piako District,85-89 years,Female,2013,270,
Franklin Local Board Area,0-4 years,Male,2013,2331,
Ashburton District,60-64 years,Female,2013,954,
Kaikoura District,55-59 years,Male,2013,180,
Napier City,30-34 years,Female,2013,1620,
Wairoa District,65-69 years,Female,2013,210,
Wellington City,95-99 years,Female,2013,108,
Marlborough District,100 years and over,Male,2013,0,
Wanganui District,25-29 years,Female,2013,1062,
Thames-Coromandel District,65-69 years,Male,2013,1353,
Tasman District,10-14 years,Male,2013,1782,
Rotorua District,0-4 years,Male,2013,2571,
Waitomo District,70-74 years,Female,2013,165,
Great Barrier Local Board Area,75-79 years,Female,2013,18,
Southland Region,95-99 years,Male,2013,33,
Waimate District,10-14 years,Female,2013,174,
Western Bay of Plenty District,40-44 years,Female,2013,1620,
Timaru District,90-94 years,Male,2013,84,
Otago Region,90-94 years,Female,2013,729,
Otorohanga District,10-14 years,Female,2013,315,
Thames-Coromandel District,10-14 years,Female,2013,786,
Waimate District,65-69 years,Male,2013,264,
Waitaki District,30-34 years,Male,2013,462,
Tauranga City,100 years and over,Female,2013,21,
Waiheke Local Board Area,80-84 years,Male,2013,75,
Bay of Plenty Region,45-49 years,Female,2013,9954,
Timaru District,5-9 years,Female,2013,1230,
Waimakariri District,65-69 years,Male,2013,1422,
Upper Harbour Local Board Area,95-99 years,Female,2013,39,
Grey District,80-84 years,Male,2013,147,
Gisborne District,30-34 years,Female,2013,1275,
Masterton District,70-74 years,Female,2013,576,
Tasman Region,40-44 years,Male,2013,1776,
Auckland Region,50-54 years,Male,2013,46371,
Marlborough Region,60-64 years,Male,2013,1677,
Lower Hutt City,45-49 years,Female,2013,3726,
Waimate District,0-4 years,Female,2013,225,
Hastings District,80-84 years,Female,2013,876,
Otara-Papatoetoe Local Board Area,45-49 years,Male,2013,2238,
Albert-Eden Local Board Area,0-4 years,Male,2013,2988,
Porirua City,70-74 years,Male,2013,705,
West Coast Region,40-44 years,Male,2013,1191,
Marlborough Region,5-9 years,Female,2013,1206,
Wellington Region,60-64 years,Male,2013,12156,
Chatham Islands Territory,35-39 years,Male,2013,18,
Clutha District,45-49 years,Female,2013,645,
South Wairarapa District,15-19 years,Female,2013,225,
Howick Local Board Area,15-19 years,Male,2013,5007,
South Waikato District,5-9 years,Male,2013,873,
"Total, Territorial Authority areas",20-24 years,Male,2013,152118,
Central Otago District,0-4 years,Female,2013,504,
Area Outside Region,5-9 years,Female,2013,21,
Albert-Eden Local Board Area,80-84 years,Male,2013,480,
Queenstown-Lakes District,100 years and over,Female,2013,3,
South Wairarapa District,65-69 years,Male,2013,348,
Christchurch City,35-39 years,Male,2013,10851,
Waiheke Local Board Area,55-59 years,Female,2013,366,
Manurewa Local Board Area,35-39 years,Female,2013,2826,
Far North District,70-74 years,Female,2013,1386,
Kawerau District,85-89 years,Female,2013,30,
Christchurch City,25-29 years,Female,2013,11523,
Gore District,30-34 years,Female,2013,339,
Mangere-Otahuhu Local Board Area,95-99 years,Female,2013,9,
Napier City,40-44 years,Female,2013,2097,
Western Bay of Plenty District,30-34 years,Male,2013,846,
Maungakiekie-Tamaki Local Board Area,40-44 years,Female,2013,2652,
Waikato Region,90-94 years,Female,2013,1131,
Waitemata Local Board Area,5-9 years,Male,2013,1341,
Lower Hutt City,100 years and over,Male,2013,3,
Henderson-Massey Local Board Area,45-49 years,Female,2013,3846,
Upper Hutt City,20-24 years,Female,2013,1146,
Gisborne Region,90-94 years,Male,2013,48,
Tararua District,40-44 years,Female,2013,603,
Waitakere Ranges Local Board Area,50-54 years,Male,2013,1794,
Waimakariri District,0-4 years,Female,2013,1497,
Hastings District,35-39 years,Female,2013,2355,
Palmerston North City,50-54 years,Male,2013,2487,
West Coast Region,55-59 years,Female,2013,1323,
Taupo District,0-4 years,Male,2013,1254,
Napier City,0-4 years,Female,2013,1914,
Clutha District,30-34 years,Male,2013,435,
Selwyn District,35-39 years,Male,2013,1458,
Canterbury Region,85-89 years,Male,2013,2856,
Gisborne District,30-34 years,Male,2013,1023,
Northland Region,20-24 years,Male,2013,3582,
Waitakere Ranges Local Board Area,25-29 years,Male,2013,1116,
Whau Local Board Area,0-4 years,Male,2013,2874,
"Total, Territorial Authority areas",90-94 years,Male,2013,6015,
Far North District,0-4 years,Male,2013,2055,
Hurunui District,60-64 years,Female,2013,501,
Stratford District,85-89 years,Male,2013,57,
Wellington Region,40-44 years,Male,2013,16878,
Bay of Plenty Region,15-19 years,Male,2013,8985,
Hamilton City,100 years and over,Female,2013,9,
South Taranaki District,40-44 years,Female,2013,936,
Westland District,35-39 years,Male,2013,336,
Marlborough Region,75-79 years,Female,2013,804,
Chatham Islands Territory,90-94 years,Male,2013,0,
Lower Hutt City,30-34 years,Male,2013,2994,
West Coast Region,90-94 years,Male,2013,48,
Waimakariri District,75-79 years,Female,2013,735,
Wellington Region,80-84 years,Female,2013,4830,
Waiheke Local Board Area,40-44 years,Male,2013,372,
Waikato Region,60-64 years,Male,2013,11283,
Waipa District,55-59 years,Male,2013,1437,
Waikato District,70-74 years,Female,2013,927,
Far North District,100 years and over,Male,2013,3,
Queenstown-Lakes District,15-19 years,Female,2013,858,
Porirua City,15-19 years,Female,2013,1851,
Maungakiekie-Tamaki Local Board Area,90-94 years,Male,2013,99,
Nelson City,30-34 years,Male,2013,1227,
Whakatane District,15-19 years,Male,2013,1161,
Hastings District,70-74 years,Male,2013,1335,
Wellington Region,0-4 years,Female,2013,15504,
Central Hawke's Bay District,70-74 years,Female,2013,294,
Tararua District,85-89 years,Female,2013,144,
Hamilton City,30-34 years,Female,2013,5214,
Whau Local Board Area,95-99 years,Male,2013,18,
Waitomo District,75-79 years,Female,2013,117,
Opotiki District,80-84 years,Male,2013,87,
Grey District,75-79 years,Female,2013,207,
Kaipara District,50-54 years,Male,2013,723,
Waikato Region,25-29 years,Female,2013,12561,
Waikato District,65-69 years,Female,2013,1401,
Christchurch City,55-59 years,Female,2013,11238,
