Area,Age,Sex,Year,Value,Flags
Marlborough Region,55-59 years,Female,2013,1713,
Hamilton City,80-84 years,Male,2013,984,
Papakura Local Board Area,65-69 years,Male,2013,822,
Waikato Region,55-59 years,Female,2013,13080,
"Total, Territorial Authority areas",45-49 years,Male,2013,146838,
Christchurch City,60-64 years,Female,2013,10095,
Hibiscus and Bays Local Board Area,90-94 years,Female,2013,381,
Auckland Region,15-19 years,Male,2013,52914,
Canterbury Region,10-14 years,Female,2013,16701,
Selwyn District,70-74 years,Male,2013,702,
Whangarei District,30-34 years,Female,2013,1953,
New Plymouth District,15-19 years,Female,2013,2280,
South Wairarapa District,30-34 years,Male,2013,195,
Opotiki District,30-34 years,Male,2013,153,
Ashburton District,25-29 years,Female,2013,915,
Carterton District,20-24 years,Female,2013,147,
Northland Region,35-39 years,Male,2013,3684,
Area outside territorial authority,80-84 years,Female,2013,3,
Papakura Local Board Area,40-44 years,Female,2013,1674,
Area outside territorial authority,95-99 years,Male,2013,0,
Waikato Region,45-49 years,Female,2013,14544,
Waiheke Local Board Area,60-64 years,Female,2013,420,
Rotorua District,20-24 years,Male,2013,2115,
Whangarei District,100 years and over,Female,2013,9,
Waitakere Ranges Local Board Area,35-39 years,Female,2013,1968,
Gisborne Region,25-29 years,Male,2013,1089,
Central Otago District,20-24 years,Female,2013,333,
Southland Region,75-79 years,Male,2013,1344,
Gisborne District,65-69 years,Female,2013,1062,
Upper Hutt City,50-54 years,Female,2013,1548,
Gore District,65-69 years,Female,2013,339,
Stratford District,95-99 years,Male,2013,3,
Napier City,5-9 years,Male,2013,1866,
Wellington City,75-79 years,Female,2013,1677,
Marlborough District,90-94 years,Female,2013,192,
Waitemata Local Board Area,70-74 years,Male,2013,846,
Gisborne Region,10-14 years,Male,2013,1842,
Devonport-Takapuna Local Board Area,35-39 years,Male,2013,1680,
South Wairarapa District,100 years and over,Male,2013,0,
Nelson Region,5-9 years,Female,2013,1452,
Timaru District,10-14 years,Male,2013,1479,
Tasman Region,60-64 years,Male,2013,1791,
Wairoa District,65-69 years,Male,2013,231,
Otorohanga District,25-29 years,Male,2013,342,
Rotorua District,95-99 years,Female,2013,36,
Gisborne Region,70-74 years,Female,2013,831,
Tararua District,60-64 years,Female,2013,516,
Whakatane District,95-99 years,Male,2013,6,
Devonport-Takapuna Local Board Area,25-29 years,Male,2013,1674,
Hastings District,20-24 years,Female,2013,2049,
South Waikato District,70-74 years,Female,2013,468,
Maungakiekie-Tamaki Local Board Area,95-99 years,Male,2013,12,
Waimakariri District,35-39 years,Male,2013,1371,
Waitakere Ranges Local Board Area,70-74 years,Male,2013,567,
Maungakiekie-Tamaki Local Board Area,15-19 years,Male,2013,2169,
Maungakiekie-Tamaki Local Board Area,30-34 years,Male,2013,2973,
Kapiti Coast District,15-19 years,Female,2013,1377,
Grey District,90-94 years,Female,2013,36,
Westland District,95-99 years,Male,2013,3,
Manurewa Local Board Area,65-69 years,Female,2013,1299,
Manawatu District,50-54 years,Male,2013,1020,
Palmerston North City,5-9 years,Female,2013,2547,
Napier City,10-14 years,Male,2013,2001,
Masterton District,40-44 years,Female,2013,858,
